Id,Verse,Broke
,,,31104,1 Nephi 1:1,
31239,1 Nephi 6:1,
31311,1 Nephi 10:1,
31464,1 Nephi 15:1,
31500,1 Nephi 16:1,
31640,1 Nephi 19:22,*
31691,1 Nephi 22:1,
31722,2 Nephi 1:1,
31784,2 Nephi 3:1,
31809,2 Nephi 4:1,
31844,2 Nephi 5:1,
31878,2 Nephi 6:1,
31932,2 Nephi 9:1,
31986,2 Nephi 10:1,
32011,2 Nephi 11:1,
32103,2 Nephi 16:1,
32240,2 Nephi 23:1,
32294,2 Nephi 25:1,
32392,2 Nephi 28:1,
32456,2 Nephi 31:1,
32477,2 Nephi 32:1,
32486,2 Nephi 33:1,
32501,Jacob 1:1,
32520,Jacob 2:1,
32569,Jacob 4:1,
32664,Jacob 6:1,
32677,Jacob 7:1,
32704,Enos 1:1,
32731,Jarom 1:1,
32746,Omni 1:1,
32776,Words of Mormon 1:1,
32794,Mosiah 1:1,
32880,Mosiah 4:1,
32910,Mosiah 5:1,
32925,Mosiah 6:1,
32932,Mosiah 7:1,
32986,Mosiah 9:1,
33027,Mosiah 11:1,
33117,Mosiah 13:25,*
33186,Mosiah 17:1,
33332,Mosiah 22:1,
33348,Mosiah 23:1,
33512,Mosiah 28:1,
33531,Mosiah 28:20,*
33579,Alma 1:1,
33677,Alma 4:1,
33697,Alma 5:1,
33759,Alma 6:1,
33767,Alma 7:1,
33794,Alma 8:1,
33826,Alma 9:1,
33860,Alma 10:1,
33938,Alma 12:1,
33984,Alma 13:10,*
34054,Alma 16:1,
34075,Alma 17:1,
34223,Alma 21:1,
34281,Alma 23:1,
34383,Alma 27:1,
34444,Alma 30:1,
34665,Alma 36:1,
34742,Alma 38:1,
34757,Alma 39:1,
34848,Alma 43:1,
34926,Alma 45:1,
35082,Alma 50:1,
35122,Alma 51:1,
35159,Alma 52:1,
35222,Alma 54:1,
35281,Alma 56:1,
35415,Alma 59:1,
35464,Alma 61:1,
35485,Alma 62:1,
35537,Alma 63:1,
35554,Helaman 1:1,
35602,Helaman 3:1,
35758,Helaman 7:1,
35875,Helaman 11:1,
35939,Helaman 13:1,
36051,3 Nephi 1:1,
36100,3 Nephi 3:1,
36185,3 Nephi 6:1,
36241,3 Nephi 8:1,
36307,3 Nephi 11:1,
36420,3 Nephi 13:25,*
36457,3 Nephi 15:1,
36501,3 Nephi 17:1,
36565,3 Nephi 19:1,
36668,3 Nephi 21:22,*
36706,3 Nephi 23:14,*
36736,3 Nephi 26:6,*
36774,3 Nephi 27:23,*
36834,3 Nephi 30:1,
36836,4 Nephi 1:1,
36885,Mormon 1:1,
36955,Mormon 4:1,
37002,Mormon 6:1,
37034,Mormon 8:1,
37112,Ether 1:1,
37227,Ether 5:1,
37233,Ether 6:1,
37316,Ether 9:1,
37408,Ether 12:1,
37449,Ether 13:1,
37545,Moroni 1:1,
37549,Moroni 2:1,
37552,Moroni 3:1,
37556,Moroni 4:1,
37559,Moroni 5:1,
37561,Moroni 6:1,
37570,Moroni 7:1,
37618,Moroni 8:1,
37648,Moroni 9:1,
37674,Moroni 10:1,
,Title,
