LDS	RLDS
1 Nephi 15	1 Nephi 4
1 Nephi 22	1 Nephi 7
2 Nephi 3	2 Nephi 2
2 Nephi 4	2 Nephi 3
2 Nephi 5	2 Nephi 4
2 Nephi 9	2 Nephi 6
2 Nephi 10	2 Nephi 7
2 Nephi 31	2 Nephi 13
2 Nephi 32	2 Nephi 14
2 Nephi 33	2 Nephi 15
Jacob 1	Jacob 1
Jacob 6	Jacob 4
Jacob 7	Jacob 5
Enos 1	Enos 1
Jarom 1	Jarom 1
Omni 1	Omni 1
Words of Mormon 1	Words of Mormon 1
Mosiah 4	Mosiah 2
Mosiah 5	Mosiah 3
Mosiah 6	Mosiah 4
Mosiah 22	Mosiah 10
Alma 4	Alma 2
Alma 5	Alma 3
Alma 6	Alma 4
Alma 7	Alma 5
Alma 8	Alma 6
Alma 9	Alma 7
Alma 16	Alma 11
Alma 38	Alma 18
Alma 50	Alma 22
Alma 51	Alma 23
Alma 61	Alma 28
Alma 62	Alma 29
Alma 63	Alma 30
3 Nephi 30	3 Nephi 14
4 Nephi 1	4 Nephi 1
Ether 5	Ether 2
Ether 12	Ether 5
Moroni 1	Moroni 1
Moroni 2	Moroni 2
Moroni 3	Moroni 3
Moroni 4	Moroni 4
Moroni 5	Moroni 5
Moroni 6	Moroni 6
Moroni 7	Moroni 7
Moroni 8	Moroni 8
Moroni 9	Moroni 9
Moroni 10	Moroni 10
